technology,project,country,year,capacity_mw,energy_mwh,metric,value,unit,currency,currency_year,point_type,source,url,note
PHS,"Coire Glas (1,500 MW)",United Kingdom,2023,1500,30000,capex_per_kw,1000,GBP/kW,GBP,2023,estimate,"SSE press release, 21 Mar 2023",https://www.sse.com/news-and-views/2023/03/britain-s-largest-pumped-hydro-scheme-in-40-years-gets-100m-investment-boost/,"'over £1.5bn' / 1,500 MW = 1,000 (lower bound); pre-FID; SSE now quotes 1,440 MW and at least 45 GWh"
PHS,"Coire Glas (1,500 MW)",United Kingdom,2023,1500,30000,capex_per_kwh,50,GBP/kWh,GBP,2023,estimate,"SSE press release, 21 Mar 2023",https://www.sse.com/news-and-views/2023/03/britain-s-largest-pumped-hydro-scheme-in-40-years-gets-100m-investment-boost/,1.5e9 / 30 GWh (lower bound); 33 GBP/kWh at 45 GWh
PHS,"Hatta (DEWA, 250 MW / 1,500 MWh)",United Arab Emirates,2025,250,1500,capex_per_kw,1475,USD/kW,USD,2023,estimate,"pv magazine, 14 Sep 2023, reporting DEWA",https://www.pv-magazine.com/2023/09/14/dubais-250-mw-1500-mwh-pumped-storage-project-nearing-completion/,"AED 1.421bn ($368.8m) / 250 MW = 1,475; project value per DEWA, not audited final; exporting from Apr 2025"
PHS,"Hatta (DEWA, 250 MW / 1,500 MWh)",United Arab Emirates,2025,250,1500,capex_per_kwh,246,USD/kWh,USD,2023,estimate,"pv magazine, 14 Sep 2023, reporting DEWA",https://www.pv-magazine.com/2023/09/14/dubais-250-mw-1500-mwh-pumped-storage-project-nearing-completion/,"368.8e6 / 1,500 MWh"
PHS,"Kidston Stage 2 (Genex, 250 MW / 2,000 MWh)",Australia,2021,250,2000,capex_per_kw,3108,AUD/kW,AUD,2021,estimate,"Renewable Energy World, 24 Mar 2021 (ARENA/NAIF financial close)",https://www.renewableenergyworld.com/energy-storage/pumped-storage/arena-commits-47-million-to-250-mw-kidston-stage-2-pumped-hydro-energy-storage/,"A$777m incl. 275 kV transmission line / 250 MW = 3,108; funded cost at financial close Apr 2021; commissioning 2025-26"
PHS,"Kidston Stage 2 (Genex, 250 MW / 2,000 MWh)",Australia,2021,250,2000,capex_per_kwh,389,AUD/kWh,AUD,2021,estimate,"Renewable Energy World, 24 Mar 2021",https://www.renewableenergyworld.com/energy-storage/pumped-storage/arena-commits-47-million-to-250-mw-kidston-stage-2-pumped-hydro-energy-storage/,"777e6 / 2,000 MWh, incl. transmission"
PHS,"Goldendale (Rye/CIP, 1,200 MW / 12 h)",United States,2032,1200,14400,capex_per_kw,1667,USD/kW,USD,2025,benchmark_range_low,"Canary Media, 26 Jan 2026",https://www.canarymedia.com/articles/hydropower/rare-step-forward-us-pumped-hydro,"developer range $2-3bn / 1,200 MW = 1,667-2,500; FERC licence Jan 2026, pre-FID, COD 2032; price year taken as 2025"
PHS,"Goldendale (Rye/CIP, 1,200 MW / 12 h)",United States,2032,1200,14400,capex_per_kw,2500,USD/kW,USD,2025,benchmark_range_high,"Canary Media, 26 Jan 2026",https://www.canarymedia.com/articles/hydropower/rare-step-forward-us-pumped-hydro,"3e9 / 1,200 MW"
PHS,"NREL ATB 2024 closed-loop PSH, resource classes 1-15",United States,2024,,,capex_per_kw,3029,USD/kW,USD,2021,benchmark_range_low,"NREL ATB 2024, Pumped Storage Hydropower (closed-loop resource classes, 10 h)",https://atb.nrel.gov/electricity/2024/pumped_storage_hydropower,"class 1 average $3,029/kW (10 h) to class 15 $4,501/kW; sites reusing one existing reservoir: class 1 $1,730/kW; page labels 2021$"
PHS,"NREL ATB 2024 closed-loop PSH, resource classes 1-15",United States,2024,,,capex_per_kw,4501,USD/kW,USD,2021,benchmark_range_high,"NREL ATB 2024, Pumped Storage Hydropower (closed-loop resource classes, 10 h)",https://atb.nrel.gov/electricity/2024/pumped_storage_hydropower,class 15 average
PHS,"NREL ATB 2024 closed-loop PSH, resource classes 1-15",United States,2024,,,capex_per_kwh,303,USD/kWh,USD,2021,benchmark_range_low,"NREL ATB 2024, Pumped Storage Hydropower (closed-loop resource classes, 10 h)",https://atb.nrel.gov/electricity/2024/pumped_storage_hydropower,class 1 at 10 h
PHS,"NREL ATB 2024 closed-loop PSH, resource classes 1-15",United States,2024,,,capex_per_kwh,450,USD/kWh,USD,2021,benchmark_range_high,"NREL ATB 2024, Pumped Storage Hydropower (closed-loop resource classes, 10 h)",https://atb.nrel.gov/electricity/2024/pumped_storage_hydropower,class 15 at 10 h
PHS,"PNNL ESGC 2022, PSH 100 MW / 10 h",United States,2021,100,1000,capex_per_kwh,263,USD/kWh,USD,2021,estimate,"PNNL / DOE, 2022 Grid Energy Storage Technology Cost and Performance Assessment (PNNL-33283)",https://www.energy.gov/sites/default/files/2022-09/2022%20Grid%20Energy%20Storage%20Technology%20Cost%20and%20Performance%20Assessment.pdf,"'$263/kWh for a 100 MW, 10-hour installed system'; reservoir $76/kWh, powerhouse $742/kW; 24 h system $143/kWh"
PHS,"PNNL ESGC 2022, PSH 100 MW / 10 h",United States,2021,100,1000,capex_per_kw,2630,USD/kW,USD,2021,estimate,"PNNL / DOE, 2022 Grid Energy Storage Technology Cost and Performance Assessment (PNNL-33283)",https://www.energy.gov/sites/default/files/2022-09/2022%20Grid%20Energy%20Storage%20Technology%20Cost%20and%20Performance%20Assessment.pdf,263 x 10 h (derived)
PHS,"IRENA 2020 PHS capex range, 19 countries 2003-2019",Global,2020,,,capex_per_kw,617,USD/kW,USD,2020,benchmark_range_low,"IRENA (2020), Innovation landscape brief: Innovative operation of pumped hydropower storage",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Jul/IRENA_Innovative_PHS_operation_2020.pdf,"low 617 (China, Thailand), medium 1,412, high 2,465 USD/kW (Japan, Switzerland, small-scale); dollar year not stated, taken as 2020"
PHS,"IRENA 2020 PHS capex range, 19 countries 2003-2019",Global,2020,,,capex_per_kw,2465,USD/kW,USD,2020,benchmark_range_high,"IRENA (2020), Innovation landscape brief: Innovative operation of pumped hydropower storage",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Jul/IRENA_Innovative_PHS_operation_2020.pdf,high end
